Time,metersPerSecond
0:10,149.43817719563543
0:25,147.94201219512524
0:40,145.65549142249375
0:55,142.42365324741922
1:10,-1053.5916557236656
1:25,132.70536193329616
1:40,126.13061036808088
1:55,118.44346221739441
2:10,109.73867075171317
2:25,100.16779197120712
2:40,89.93639346911434
2:55,79.29906183448128
3:10,68.55235015067143
3:25,58.025888343143464
3:40,48.07195259931416
3:55,39.053852956549264
4:10,31.33354795682223
4:25,25.258930013498144
4:40,21.151243409381664
4:55,19.29309785110766
5:10,19.917524103810763
5:25,0.0
5:40,0.0
5:55,0.0
6:10,49.68819619679175
6:25,63.93117215280546
6:40,80.62444412309858
6:55,99.5068804428492
7:10,120.25404604246025
7:25,142.48708445403622
7:40,165.78346874532224
7:55,189.68925903869248
8:10,213.7324490634261
8:25,237.43694417360837
8:40,0.0
8:55,281.9894647595188
9:10,301.9898617481722
9:25,319.98101508881655
9:40,335.6646710629372
9:55,348.8092646903831
10:10,359.2557351463746
10:25,366.92089525107986
10:40,371.7982588695878
10:55,373.95632179487563
11:10,373.53438317940675
11:25,370.7360824230991
11:40,365.82090735270083
11:55,359.0940005450128
12:10,350.8946491408034
12:25,341.58388733494365
12:40,331.53166833897706
12:55,321.1040730416112
13:10,310.6510155408594
13:25,300.49488155263
13:40,290.92049542630923
13:55,282.166756737858
14:10,274.42022034889254
14:25,267.8108170400056
14:40,262.40982833053044
14:55,258.23014211072706
15:10,255.22872858077466
15:25,253.31119204932273
15:40,252.3381765906624
15:55,252.1333353320257
16:10,252.49251680734466
16:25,253.19377946764567
16:40,254.00781862879217
16:55,254.70837980507025
17:10,255.08223882106387
17:25,254.93835196180993
17:40,-1035.1176480726413
17:55,252.49034388085477
18:10,0.0
18:25,246.5429283171256
18:40,242.18839611543052
18:55,236.9653932681204
19:10,230.9646381509682
19:25,224.31267206003776
19:40,217.16542546028754
19:55,209.70052200605514
20:10,202.1086598359682
20:25,194.58444681517872
20:40,187.31708825164137
20:55,180.4813312952729
21:10,174.22905952038172
21:25,168.68190451871737
21:40,163.92519974708614
21:55,160.0035470210418
22:10,156.91820008945837
22:25,0.0
22:40,153.0426790922383
22:55,152.04220054894648
23:10,151.4658538957186
23:25,151.12708067036078
23:40,150.82006925171277
23:55,150.32903012166457
