Time,metersPerSecond
0:7,292.22452710936994
0:28,301.9463474459485
0:49,310.48492170033137
1:10,317.5344353405196
1:31,1002.5645103719678
1:52,326.10912518929143
2:13,327.2161059318919
2:34,326.01273991165294
2:55,322.43144545894864
3:16,316.4688213259345
3:37,308.18679543091184
3:58,297.71170671955105
4:19,285.2313411939598
4:40,0.0
5:1,255.2818281016472
5:22,238.44239095833427
5:43,0.0
6:4,202.860706049092
6:25,0.0
6:46,167.37044591932516
7:7,150.63868393279444
7:28,135.0691671208018
7:49,120.98597085852622
8:10,108.6691676789942
8:31,98.34705494519059
8:52,90.19005454898164
9:13,84.30647597076567
9:34,80.74027225788839
9:55,79.47085246857617
10:16,80.41494608603998
10:37,83.43044710627086
10:58,88.32210020583592
11:19,94.84883078110425
11:40,102.73246673874907
12:1,111.66755450501445
12:22,121.3319363189234
12:43,131.39773165753735
13:4,141.5423534098609
13:25,151.45918956872535
13:46,160.86759373081907
14:7,0.0
14:28,177.21883068372912
14:49,183.8040503442055
15:10,189.1759942098146
15:31,193.28850860514183
15:52,196.1512265866009
16:13,197.82800894170745
16:34,198.4334652902665
16:55,198.12768304082002
17:16,197.1093527515257
17:37,195.6075328250589
17:58,193.87234260526736
18:19,192.16490928921047
18:40,190.74691940081254
19:1,189.8701390403794
19:22,189.7662682747414
19:43,190.63748382638119
20:4,192.64800103202077
20:25,0.0
20:46,200.51282965023302
21:7,206.44970413490637
21:28,213.6853387305502
21:49,222.12129227626943
22:10,231.60500844862145
22:31,241.93383447322745
22:52,252.8608434840654
23:13,264.1022736310106
23:34,275.34634176671426
23:55,286.26314232623884
