time,power import building 1 [watts],power export building 1 [watts],power import building 2 [watts],power export building 2 [watts],power import building 3 [watts],power export building 3 [watts]
00:00:00,280.3854748603352,0.0,1830.2569832402235,0.0,55.29608938547486,0.0
00:15:00,280.63128491620114,0.0,2543.4804469273745,0.0,737.2625698324023,0.0
00:30:00,609.0502793296089,0.0,2393.027777777778,0.0,6924.748603351955,0.0
00:45:00,316.0782122905028,0.0,334.6611111111111,0.0,55.625698324022345,0.0
01:00:00,314.35754189944134,0.0,258.2737430167598,0.0,62.5195530726257,0.0
01:15:00,333.8491620111732,0.0,320.2737430167598,0.0,60.82222222222222,0.0
01:30:00,325.7486033519553,0.0,232.40782122905028,0.0,55.10674157303371,0.0
01:45:00,325.0280898876405,0.0,1012.5027932960894,0.0,55.201117318435756,0.0
02:00:00,325.55801104972375,0.0,2161.0335195530724,0.0,55.30555555555556,0.0
02:15:00,325.8611111111111,0.0,1301.9106145251396,0.0,55.82122905027933,0.0
02:30:00,326.0888888888889,0.0,2572.3277777777776,0.0,55.59444444444444,0.0
02:45:00,326.2888888888889,0.0,1587.9944444444445,0.0,55.672222222222224,0.0
03:00:00,326.9217877094972,0.0,1330.2222222222222,0.0,55.81111111111111,0.0
03:15:00,327.16201117318434,0.0,1383.8100558659219,0.0,55.82122905027933,0.0
03:30:00,317.56424581005587,0.0,1360.1899441340781,0.0,2454.0335195530724,0.0
03:45:00,621.536312849162,0.0,2945.722222222222,0.0,5990.100558659218,0.0
04:00:00,372.10614525139664,0.0,3318.8659217877093,0.0,111.58659217877096,0.0
04:15:00,363.4078212290503,0.0,1598.5055555555555,0.0,2045.0837988826815,0.0
04:30:00,330.98333333333335,0.0,1483.7111111111112,0.0,3048.1067415730336,0.0
04:45:00,326.0444444444444,0.0,3269.2055555555557,0.0,300.59444444444443,0.0
05:00:00,333.4189944134078,0.0,2569.2849162011175,0.0,123.28888888888889,0.0
05:15:00,331.22777777777776,0.0,1322.1005586592178,0.0,207.76111111111112,0.0
05:30:00,315.06145251396646,0.0,1995.4078212290503,0.0,133.00555555555556,2.933333333333333
05:45:00,304.0782122905028,0.0,3336.8435754189945,0.0,43.13966480446928,44.58100558659218
06:00:00,323.9329608938547,0.0,2494.2277777777776,0.0,508.75,128.84444444444443
06:15:00,457.93854748603354,245.48603351955308,1403.861111111111,0.0,2639.63687150838,0.0
06:30:00,0.0,549.268156424581,1294.388888888889,0.0,4535.368715083799,0.0
06:45:00,0.0,694.3575418994413,2523.787709497207,0.0,577.0777777777778,2692.8888888888887
07:00:00,0.0,811.55,3008.5112359550562,0.0,0.0,3631.8722222222223
07:15:00,0.0,934.6166666666667,1375.1117318435754,0.0,0.0,4221.72625698324
07:30:00,0.0,1008.7653631284916,1363.5027932960893,0.0,0.0,3535.2346368715084
07:45:00,0.0,1074.3798882681565,1364.9106145251396,0.0,0.0,2678.6592178770948
08:00:00,0.0,1153.5474860335196,1413.8944444444444,0.0,0.0,5952.561111111111
08:15:00,0.0,1177.0558659217877,1315.3687150837989,0.0,0.0,7679.45
08:30:00,0.0,1243.7166666666667,1410.4022346368715,0.0,0.0,8821.027777777777
08:45:00,177.4611111111111,1470.2234636871508,1306.95530726257,0.0,0.0,9952.377777777778
09:00:00,0.0,1808.4277777777777,1413.8212290502793,0.0,0.0,9904.816666666668
09:15:00,0.0,2075.9055555555556,1804.8994413407822,0.0,0.0,8591.455555555556
09:30:00,0.0,2207.8379888268155,3247.6592178770948,0.0,0.0,12099.138888888889
09:45:00,0.0,2591.31843575419,1953.3687150837989,0.0,0.0,13343.474860335196
10:00:00,0.0,2717.63687150838,1369.173184357542,0.0,0.0,13632.111111111111
10:15:00,0.0,2772.8659217877093,1333.173184357542,0.0,0.0,13857.922222222222
10:30:00,0.0,2893.161111111111,1445.6201117318435,0.0,0.0,14166.871508379889
10:45:00,0.0,2982.3944444444446,1347.804469273743,0.0,0.0,14425.888888888889
11:00:00,0.0,3067.2166666666667,1390.2458100558658,0.0,0.0,14571.0
11:15:00,0.0,3111.776536312849,1365.3798882681565,0.0,0.0,14625.05
11:30:00,0.0,3139.016759776536,1372.8994413407822,0.0,0.0,14538.727777777778
11:45:00,0.0,3142.854748603352,1303.2458100558658,0.0,0.0,13432.8
12:00:00,0.0,3129.424581005587,1324.4245810055866,0.0,0.0,10695.05027932961
12:15:00,0.0,3098.5666666666666,2915.8268156424583,0.0,0.0,13846.335195530726
12:30:00,89.42222222222222,2818.8268156424583,2671.0222222222224,0.0,0.0,13489.519553072625
12:45:00,0.0,2961.585635359116,1571.7877094972066,0.0,0.0,13144.173184357542
13:00:00,0.0,2888.2793296089385,544.6111111111111,0.0,0.0,12727.8
13:15:00,0.0,2846.2960893854747,320.5754189944134,0.0,0.0,12146.277777777777
13:30:00,0.0,2742.972067039106,249.66666666666666,0.0,0.0,11583.58888888889
13:45:00,0.0,2663.335195530726,349.83798882681566,0.0,0.0,10972.93888888889
14:00:00,0.0,2612.527777777778,182.83798882681563,0.0,0.0,10179.41111111111
14:15:00,0.0,2597.3611111111113,355.6033519553073,0.0,0.0,7535.491620111732
14:30:00,0.0,2550.877094972067,233.2122905027933,0.0,0.0,9071.759776536313
14:45:00,0.0,2417.150837988827,300.3072625698324,0.0,0.0,6861.262569832402
15:00:00,0.0,2373.435754189944,209.91620111731842,0.0,0.0,5159.826815642458
15:15:00,0.15083798882681565,2197.027932960894,269.463687150838,0.0,0.0,7596.2011173184355
15:30:00,0.9441340782122905,1600.9497206703911,265.6145251396648,0.0,0.0,6704.888268156425
15:45:00,227.53072625698323,968.3966480446927,311.9106145251397,0.0,0.0,2934.7039106145253
16:00:00,130.27932960893855,95.58100558659218,194.1731843575419,0.0,0.0,2995.3240223463686
16:15:00,137.68156424581005,150.50279329608938,220.06703910614524,0.0,0.0,1265.9441340782123
16:30:00,174.3687150837989,51.31843575418994,308.9329608938547,0.0,0.0,769.9329608938548
16:45:00,233.55307262569832,19.100558659217878,667.5251396648044,0.0,0.0,361.79888268156424
17:00:00,294.22346368715085,0.0,1655.2346368715084,0.0,51.19444444444444,67.63333333333334
17:15:00,336.877094972067,0.0,3885.5555555555557,0.0,800.1005586592179,6.145251396648045
17:30:00,340.02793296089385,0.0,4929.877777777778,0.0,3426.788888888889,0.0
17:45:00,313.0,0.0,1416.0277777777778,0.0,2339.9166666666665,0.0
18:00:00,314.8388888888889,0.0,3424.016666666667,0.0,205.3296089385475,0.0
18:15:00,317.18333333333334,0.0,1398.3743016759777,0.0,112.22905027932961,0.0
18:30:00,318.0722222222222,0.0,1494.252808988764,0.0,110.94413407821229,0.0
18:45:00,322.9553072625698,0.0,2228.9385474860337,0.0,111.20670391061452,0.0
19:00:00,664.3240223463687,0.0,1843.45,0.0,548.8826815642458,0.0
19:15:00,353.9776536312849,0.0,303.32402234636874,0.0,3055.754189944134,0.0
19:30:00,349.9277777777778,0.0,1710.3687150837989,0.0,814.1173184357542,0.0
19:45:00,332.34444444444443,0.0,2220.1396648044692,0.0,116.78212290502793,0.0
20:00:00,311.00555555555553,0.0,1133.85,0.0,112.69444444444444,0.0
20:15:00,287.30555555555554,0.0,205.07222222222222,0.0,89.88888888888889,0.0
20:30:00,300.8212290502793,0.0,331.75555555555553,0.0,7136.416666666667,0.0
20:45:00,656.463687150838,0.0,310.93333333333334,0.0,1708.2569832402235,0.0
21:00:00,345.2067039106145,0.0,261.35955056179773,0.0,56.245810055865924,0.0
21:15:00,345.75977653631287,0.0,296.2625698324022,0.0,56.12290502793296,0.0
21:30:00,347.5111111111111,0.0,2091.7430167597763,0.0,56.02793296089386,0.0
21:45:00,333.8491620111732,0.0,2124.0223463687153,0.0,56.41111111111111,0.0
22:00:00,319.3743016759777,0.0,298.67597765363126,0.0,56.205555555555556,0.0
22:15:00,317.8277777777778,0.0,287.877094972067,0.0,56.18888888888889,0.0
22:30:00,319.52222222222224,0.0,205.52513966480447,0.0,56.794444444444444,0.0
22:45:00,320.7486033519553,0.0,284.68715083798884,0.0,56.96111111111111,0.0
23:00:00,321.77653631284915,0.0,233.34078212290504,0.0,56.81111111111111,0.0
